Price;Location;Spare;Length;Width;Direction;Amenities,,,,
800 triệu; Đường 22, Phường Minh Thành, Thị xã Chơn Thành, Bình Phước; 1,000 m²; 20 m; 50 m; --;1
500 triệu; Đường Quốc Lộ 13, Xã Lộc Thiện, Huyện Lộc Ninh, Bình Phước; 1,000 m²; 100 m; 10 m; --;1
460 triệu; Xã Phước Đông, Huyện Gò Dầu, Tây Ninh; 382 m²; --; --; --;0,,
350 triệu; Xã Xuân Thới Thượng, Huyện Hóc Môn, TP. Hồ Chí Minh; 158 m²; 5 m; 31.5 m; --;1,,
570 triệu; Xã Trường Hòa, Huyện Hòa Thành, Tây Ninh; 208 m²; --; --; --;0,,
1 tỷ; Đường Võ Tấn Đồ, Phường 4, TP. Tân An, Long An; 75 m²; 16.5 m; 4.5 m; Đông;1,
34 tỷ; Đường Quốc lộ 56, Xã Xuân Mỹ, Huyện Cẩm Mỹ, Đồng Nai; 25,845.40 m²; --; --; --;1
490 triệu; Xã Phú Trung, Huyện Phú Riềng, Bình Phước; 270 m²; 45 m; 6 m; --;1,,
550 triệu; Đường 304, Xã Quang Hưng, Huyện An Lão, TP. Hải Phòng; 65 m²; 13 m; 5 m; Đ.Bắc;1,
760 triệu; Xã Tân Thành, TP. Đồng Xoài, Bình Phước; 250 m²; 50 m; 5 m; --;1,,
650 triệu; Xã Tân Lợi, Huyện Đồng Phú, Bình Phước; 1,000 m²; 100 m; 10 m; --;1,
3.85 tỷ; Hương lộ 11, Xã Hưng Long, Huyện Bình Chánh, TP. Hồ Chí Minh; 92.50 m²; 18.5 m; 5 m; Đông;1,
3.85 tỷ; Hương lộ 11, Xã Bình Chánh, Huyện Bình Chánh, TP. Hồ Chí Minh; 92.50 m²; 18.5 m; 4.99 m; Nam;1,
1.65 tỷ; Hải sơn, Xã Mỹ Hạnh Nam, Huyện Đức Hòa, Long An; 100 m²; 20 m; 5 m; Đông;1,
1.2 tỷ; 777, Xã Tiên Trang, Huyện Quảng Xương, Thanh Hóa; 100 m²; 9 m; 5 m; Tây;0,
35 tỷ; Đường Đinh Bộ Lĩnh, Thị trấn Long Thành, Huyện Long Thành, Đồng Nai; 528 m²; 17.1 m; 37.06 m; T.Nam;1,
378 triệu; DT 783, Xã Trà Vong, Huyện Tân Biên, Tây Ninh; 270 m²; 34 m; 5 m; Tây;1,
1.1 tỷ; Phường Tân Định, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; Bắc;1,,
1.35 tỷ; Xã Tân Phú Trung, Huyện Củ Chi, TP. Hồ Chí Minh; 503 m²; 34 m; 14.99 m; --;1,,
1.5 tỷ; Thị trấn Lộc Thắng, Huyện Bảo Lâm, Lâm Đồng; 510 m²; 11 m; 46.4 m; Đông;1,,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 66 m; --;1,,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; --;0,,
1.7 tỷ; Đường Trần Quý Cáp, Thị trấn Liên Hương, Huyện Tuy Phong, Bình Thuận; 221 m²; 22 m; 10.99 m; --;1,
430 triệu; Khu phố Long Chi, Xã Long Thành Trung, Huyện Hòa Thành, Tây Ninh; 267.40 m²; 37 m; 7 m; --;1,
800 triệu; Đường 22, Phường Minh Thành, Thị xã Chơn Thành, Bình Phước; 1,000 m²; 20 m; 50 m; --;1
500 triệu; Đường Quốc Lộ 13, Xã Lộc Thiện, Huyện Lộc Ninh, Bình Phước; 1,000 m²; 100 m; 10 m; --;1
460 triệu; Xã Phước Đông, Huyện Gò Dầu, Tây Ninh; 382 m²; --; --; --;0,,
350 triệu; Xã Xuân Thới Thượng, Huyện Hóc Môn, TP. Hồ Chí Minh; 158 m²; 5 m; 31.5 m; --;1,,
570 triệu; Xã Trường Hòa, Huyện Hòa Thành, Tây Ninh; 208 m²; --; --; --;0,,
1 tỷ; Đường Võ Tấn Đồ, Phường 4, TP. Tân An, Long An; 75 m²; 16.5 m; 4.5 m; Đông;1,
34 tỷ; Đường Quốc lộ 56, Xã Xuân Mỹ, Huyện Cẩm Mỹ, Đồng Nai; 25,845.40 m²; --; --; --;1
490 triệu; Xã Phú Trung, Huyện Phú Riềng, Bình Phước; 270 m²; 45 m; 6 m; --;1,,
550 triệu; Đường 304, Xã Quang Hưng, Huyện An Lão, TP. Hải Phòng; 65 m²; 13 m; 5 m; Đ.Bắc;1,
760 triệu; Xã Tân Thành, TP. Đồng Xoài, Bình Phước; 250 m²; 50 m; 5 m; --;1,,
650 triệu; Xã Tân Lợi, Huyện Đồng Phú, Bình Phước; 1,000 m²; 100 m; 10 m; --;1,
3.85 tỷ; Hương lộ 11, Xã Hưng Long, Huyện Bình Chánh, TP. Hồ Chí Minh; 92.50 m²; 18.5 m; 5 m; Đông;1,
3.85 tỷ; Hương lộ 11, Xã Bình Chánh, Huyện Bình Chánh, TP. Hồ Chí Minh; 92.50 m²; 18.5 m; 4.99 m; Nam;1,
1.65 tỷ; Hải sơn, Xã Mỹ Hạnh Nam, Huyện Đức Hòa, Long An; 100 m²; 20 m; 5 m; Đông;1,
1.2 tỷ; 777, Xã Tiên Trang, Huyện Quảng Xương, Thanh Hóa; 100 m²; 9 m; 5 m; Tây;0,
35 tỷ; Đường Đinh Bộ Lĩnh, Thị trấn Long Thành, Huyện Long Thành, Đồng Nai; 528 m²; 17.1 m; 37.06 m; T.Nam;1,
378 triệu; DT 783, Xã Trà Vong, Huyện Tân Biên, Tây Ninh; 270 m²; 34 m; 5 m; Tây;1,
1.1 tỷ; Phường Tân Định, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; Bắc;1,,
1.35 tỷ; Xã Tân Phú Trung, Huyện Củ Chi, TP. Hồ Chí Minh; 503 m²; 34 m; 14.99 m; --;1,,
1.5 tỷ; Thị trấn Lộc Thắng, Huyện Bảo Lâm, Lâm Đồng; 510 m²; 11 m; 46.4 m; Đông;1,,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 66 m; --;1,,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; --;0,,
1.7 tỷ; Đường Trần Quý Cáp, Thị trấn Liên Hương, Huyện Tuy Phong, Bình Thuận; 221 m²; 22 m; 10.99 m; --;1,
430 triệu; Khu phố Long Chi, Xã Long Thành Trung, Huyện Hòa Thành, Tây Ninh; 267.40 m²; 37 m; 7 m; --;1,
490 triệu; Phường Minh Thành, Thị xã Chơn Thành, Bình Phước; 5,700 m²; 60 m; 95 m; --;1,
410 triệu; Ấp Phước Lập xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 477.20 m²; 48 m; 10 m; --;1,,
420 triệu; Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 477.20 m²; 47.98 m; 10 m; --;1,,
380 triệu; Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 48 m²; --; --; --;0,,
389 triệu; Đường Quốc lộ 22B, Xã Trà Vong, Huyện Tân Biên, Tây Ninh; 270 m²; 54 m; 5 m; --;1,
598.13 triệu; Xã Hồng Thái, Huyện Bắc Bình, Bình Thuận; 4,785 m²; --; --; --;1,
300 triệu; Xã Phước Đông, Huyện Gò Dầu, Tây Ninh; 168.20 m²; 33.66 m; 4.99 m; --;1,,
1.15 tỷ; Quốc lộ 1A, Phường 4, TP. Tân An, Long An; 81 m²; 16 m; 5 m; --;1,
1.39 tỷ; Đường Quốc lộ 1A, Xã Phước Thể, Huyện Tuy Phong, Bình Thuận; 105 m²; 19 m; 5.5 m; Bắc;1,
1.39 tỷ; Đường Quốc lộ 1A, Xã Phước Thể, Huyện Tuy Phong, Bình Thuận; 105 m²; 19 m; 5.5 m; Bắc;1,
950 triệu; Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 80 m²; --; --; --;0,,
2.2 tỷ; Nguyễn Thị Nê, Xã Tân Thạnh Đông, Huyện Củ Chi, TP. Hồ Chí Minh; 308.10 m²; 37 m; 8.5 m; Nam;1,
3.9 tỷ; Âu Cơ, Phường 10, Quận Tân Bình, TP. Hồ Chí Minh; 37 m²; --; --; --;1,
300 triệu; Xã Phước Đông, Huyện Gò Dầu, Tây Ninh; 168.20 m²; --; --; --;0,,
650 triệu; Xã An Tịnh, Huyện Trảng Bàng, Tây Ninh; 200 m²; --; --; --;1,,
300 triệu; TL623B, Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi; 130 m²; 20 m; 5 m; Đông;1,
540 triệu; Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 60 m²; --; --; --;0,,
550 triệu; Phường Nguyễn An Ninh, TP. Vũng Tàu, Bà Rịa Vũng Tàu; 1,600 m²; 60 m; 40 m; --;1,
2 tỷ; Xã Phiêng Luông, Huyện Mộc Châu, Sơn La; 600 m²; 30 m; 20 m; --;0,,
1.8 tỷ; Tỉnh Lộ 7, Xã Trung Lập Hạ, Huyện Củ Chi, TP. Hồ Chí Minh; 1,050 m²; 50 m; 21 m; --;1
660 triệu; Trịnh Quang Nghị, Phường 7, Quận 8, TP. Hồ Chí Minh; 80 m²; 16 m; 5 m; --;0,
1.5 tỷ; Xã Tân An Hội, Huyện Củ Chi, TP. Hồ Chí Minh; 92 m²; 18 m; 5 m; Đ.Nam;1,,
680 triệu; Xã La Ngà, Huyện Định Quán, Đồng Nai; 2,500 m²; --; --; --;0,
2.1 tỷ; Phường Bắc Sơn, Quận Kiến An, TP. Hải Phòng; 86 m²; --; --; --;0,,
570 triệu; Hồ Chí Minh, Xã Đôn Thuận, Huyện Trảng Bàng, Tây Ninh; 94 m²; 18.98 m; 5 m; --;0,
750 triệu; DT782, Xã Gia Lộc, Huyện Trảng Bàng, Tây Ninh; 137 m²; 27 m; 5 m; --;0,
890 triệu; DT782, Xã Bàu Đồn, Huyện Gò Dầu, Tây Ninh; 177 m²; 34.98 m; 5 m; --;1,
460 triệu; Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 48 m²; --; --; --;0,,
600 triệu; Xã Lộc Tân, Huyện Bảo Lâm, Lâm Đồng; 100 m²; 5 m; 20 m; --;0,,
3.62 tỷ; Đường Nguyễn Hữu Thấu, Phường Tân Lợi, TP. Buôn Ma Thuột, Đắk Lắk; 150 m²; 30 m; 5 m; Đ.Bắc;1,
1.52 tỷ; Đường Tỉnh lộ 276, Xã Việt Đoàn, Huyện Tiên Du, Bắc Ninh; 118 m²; 6 m; 20 m; Đ.Bắc;1,
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 70 m²; 16 m; 5 m; Đ.Nam;0,,
900 triệu; Đường quốc lộ 1A , Phường Điện An, Thị xã Điện Bàn, Quảng Nam; 100 m²; 20 m; 5 m; Đ.Nam;1,
550 triệu; Phường 3, Quận Gò Vấp, TP. Hồ Chí Minh; 1,600 m²; 60 m; 22 m; --;1,
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 75 m²; 15 m; 5 m; Đông;0,,
639 triệu; QL14D, Thị trấn Thạnh Mỹ, Huyện Nam Giang, Quảng Nam; 119 m²; --; 5 m; --;1,
500 triệu; Đường 10, Thị trấn An Lão, Huyện An Lão, TP. Hải Phòng; 70 m²; 14 m; 5 m; --;1,
